2024-03-21 22:34:34 n_try: 23, i: 13, D9, local: -5, energy: -5.004502245913279, grad_norm: 6.751302251657953, eta: 0.0009986031552522703, learning_rate: 0.03389154437772001, t_old: [(0.13980929826487742+0j), (0.40482206392158493-6.429540943602769e-07j), (0.9036428655246642+2.880376605461005e-07j), (0.40482206392158493+6.429540943602769e-07j), (-0.8562195600465344+0j), (0.32094396422983607-8.1099141298615e-07j), (0.9036428655246642-2.880376605461005e-07j), (0.32094396422983607+8.1099141298615e-07j), (-0.28358855841496644+0j), (0.3748251936745122+0j), (0.6184096041385473+5.116982613657845e-07j), (0.690705460415505-4.581400109487708e-07j), (0.6184096041385473-5.116982613657845e-07j), (0.3882807508262872+0j), (-0.6832320368902987-4.631487030828971e-07j), (0.690705460415505+4.581400109487708e-07j), (-0.6832320368902987+4.631487030828971e-07j), (0.2368931405020503+0j), (-0.5559681778637188+0j), (0.5803888660757037+4.0073725145827644e-07j), (-0.5950184146182262+3.9088578753924864e-07j), (0.5803888660757037-4.0073725145827644e-07j), (-0.2413786977139562+0j), (-0.7777428088714065-2.990500559916986e-07j), (-0.5950184146182262-3.9088578753924864e-07j), (-0.7777428088714065+2.990500559916986e-07j), (-0.20265241371527365+0j)]
2024-03-21 22:36:17 n_try: 20, i: 22, D9, local: -5, energy: -5.003733163944563, grad_norm: 6.649974423515806, eta: 0.0009999484335926675, learning_rate: 0.01313027869578149, t_old: [(0.11392274889113752+0j), (0.30340014852118646+4.403034945161279e-20j), (0.9460285181427012-1.365359824412051e-20j), (0.30340014852118646-4.403034945161279e-20j), (-0.9173626266021124+0j), (0.25767064475384427+5.2122228407080225e-20j), (0.9460285181427012+1.365359824412051e-20j), (0.25767064475384427-5.2122228407080225e-20j), (-0.19656012227745823+0j), (0.36063179570507903+0j), (0.5338020172699237-1.000930676202383e-18j), (0.7648530017342917+6.98748232918441e-19j), (0.5338020172699237+1.000930676202383e-18j), (0.5543341196201332+0j), (-0.6385679996369986+8.367150265885134e-19j), (0.7648530017342917-6.98748232918441e-19j), (-0.6385679996369986-8.367150265885134e-19j), (0.08503408466322054+0j), (-0.42621037164911196+0j), (0.6752495441791899-8.59749787367368e-19j), (-0.6019823686466144-9.642442531437191e-19j), (0.6752495441791899+8.59749787367368e-19j), (-0.20534996730334903+0j), (-0.7084274444085126+8.194733762665176e-19j), (-0.6019823686466144+9.642442531437191e-19j), (-0.7084274444085126-8.194733762665176e-19j), (-0.36843966103597164+0j)]
2024-03-21 22:37:52 n_try: 21, i: 19, D9, local: -5, energy: -5.0014762619194055, grad_norm: 6.681437622219641, eta: 0.0009980567187845625, learning_rate: 0.0180113562356399, t_old: [(0.13886146211367367+0j), (0.3709115159277588-8.233744378798073e-12j), (0.9182277177632415+3.3259621229926375e-12j), (0.3709115159277588+8.233744378798073e-12j), (-0.8791992202396021+0j), (0.29905413967894406-1.0212166307649475e-11j), (0.9182277177632415-3.3259621229926375e-12j), (0.29905413967894406+1.0212166307649475e-11j), (-0.2596622418625044+0j), (0.3114882468317282+0j), (0.5527784780113711+7.237984701367464e-12j), (0.7729236872486147-5.17645174225306e-12j), (0.5527784780113711-7.237984701367464e-12j), (0.55619632582948+0j), (-0.6205494350638676-6.447515607043076e-12j), (0.7729236872486147+5.17645174225306e-12j), (-0.6205494350638676+6.447515607043076e-12j), (0.1323154273272255+0j), (-0.4636111134308319+0j), (0.6518599943577206+4.555805749450893e-12j), (-0.600119390818396+4.948594488867344e-12j), (0.6518599943577206-4.555805749450893e-12j), (-0.2078108571986209+0j), (-0.729310081764398-4.071995690411296e-12j), (-0.600119390818396-4.948594488867344e-12j), (-0.729310081764398+4.071995690411296e-12j), (-0.3285780293589802+0j)]
2024-03-21 23:07:36 n_try: 0, i: 28, D9, local: -5, energy: -5.001026294008209, grad_norm: 5.271399493098038, eta: 0.000999920143045869, learning_rate: 0.006977968440364812, t_old: [(-0.04662713246941935+0j), (0.19250050010313682+2.136924756188078e-19j), (0.98018848593247-4.183708497388646e-20j), (0.19250050010313682-2.136924756188078e-19j), (-0.9611312175818276+0j), (0.1979149818143676+2.077255139564884e-19j), (0.98018848593247+4.183708497388646e-20j), (0.1979149818143676-2.077255139564884e-19j), (0.007758350062814279+0j), (0.709193516387518+0j), (0.3938599560297595+1.7260469947019153e-19j), (0.5847383101242891-1.162583310899623e-19j), (0.3938599560297595-1.7260469947019153e-19j), (0.46656737825690026+0j), (-0.791952786824811-8.569812113558459e-20j), (0.5847383101242891+1.162583310899623e-19j), (-0.791952786824811+8.569812113558459e-20j), (-0.1757608946559851+0j), (-0.23374205044536628+0j), (0.785155052612372-3.732513972208533e-19j), (-0.5734947228944003-5.112718952507932e-19j), (0.785155052612372+3.732513972208533e-19j), (-0.1954818125942947+0j), (-0.5876379874369749+4.987153396403943e-19j), (-0.5734947228944003+5.112718952507932e-19j), (-0.5876379874369749-4.987153396403943e-19j), (-0.5707761369487716+0j)]
2024-03-21 23:11:50 n_try: 27, i: 14, D9, local: -5, energy: -5.012233095113426, grad_norm: 6.3425637608350875, eta: 0.0009989004920499859, learning_rate: 0.03050238993994801, t_old: [(0.05264714548929611+0j), (-0.10265396937594737-3.9241229176286345e-07j), (0.9933223826764155-4.055348046275955e-08j), (-0.10265396937594737+3.9241229176286345e-07j), (-0.98998862346118+0j), (-0.09686868144210528-4.15848328509524e-07j), (0.9933223826764155+4.055348046275955e-08j), (-0.09686868144210528+4.15848328509524e-07j), (-0.06265788925699828+0j), (0.5634903777371707+0j), (0.3965450480259738+2.8075248664844394e-07j), (0.7247274754743056-1.5361775536375685e-07j), (0.3965450480259738-2.8075248664844394e-07j), (0.639759914214095+0j), (-0.6583757045296507-1.6909950874399532e-07j), (0.7247274754743056+1.5361775536375685e-07j), (-0.6583757045296507+1.6909950874399532e-07j), (-0.2032506982120219+0j), (-0.2738409522655496+0j), (0.8608160475742115+1.4092420586108467e-07j), (-0.42895933036367084+2.82800278870524e-07j), (0.8608160475742115-1.4092420586108467e-07j), (0.02044443590571815+0j), (-0.5085046836246636-2.3856184962757806e-07j), (-0.42895933036367084-2.82800278870524e-07j), (-0.5085046836246636+2.3856184962757806e-07j), (-0.7466030398583334+0j)]
2024-03-21 23:18:37 n_try: 16, i: 54, D9, local: -5, energy: -5.018404705600717, grad_norm: 5.617217961267986, eta: 0.0009998985633287523, learning_rate: 0.0004508522551363641, t_old: [(-0.0031269935770778523+0j), (-0.10202672640293287+5.83752228586917e-19j), (0.9947767432884307+6.025319929606923e-20j), (-0.10202672640293287-5.83752228586917e-19j), (-0.9895578946916191+0j), (-0.10181218065564543+5.847552703452385e-19j), (0.9947767432884307-6.025319929606923e-20j), (-0.10181218065564543-5.847552703452385e-19j), (-0.007315111719736256+0j), (0.6381019200940639+0j), (0.3246929888618689-1.3643943343660765e-19j), (0.6981406753177194+6.362875691860024e-20j), (0.3246929888618689+1.3643943343660765e-19j), (0.7086872164367067+0j), (-0.6263680166004685+7.05962480617841e-20j), (0.6981406753177194-6.362875691860024e-20j), (-0.6263680166004685-7.05962480617841e-20j), (-0.3467891365423377+0j), (-0.057413420539849214+0j), (0.896461796958772-2.7749510393835834e-19j), (-0.4393858733644376-5.672104768377635e-19j), (0.896461796958772+2.7749510393835834e-19j), (-0.14740590313985996+0j), (-0.41788484812186893+5.965944321818617e-19j), (-0.4393858733644376+5.672104768377635e-19j), (-0.41788484812186893-5.965944321818617e-19j), (-0.7951806763087235+0j)]
2024-03-21 23:25:18 n_try: 15, i: 29, D9, local: -5, energy: -5.0172001677052345, grad_norm: 5.801528554268627, eta: 0.0009999896024237977, learning_rate: 0.006280171596328331, t_old: [(-0.021787218380551476+0j), (-0.2254010485594705+1.8625593527530436e-19j), (0.9740224249987242+4.311710920039807e-20j), (-0.2254010485594705-1.8625593527530436e-19j), (-0.9480628001818633+0j), (-0.22443550119462236+1.8741230201982058e-19j), (0.9740224249987242-4.311710920039807e-20j), (-0.22443550119462236-1.8741230201982058e-19j), (-0.030149981426018047+0j), (0.6055482353606634+0j), (0.2887515365468796+3.7205980336372033e-19j), (0.7415752724911132-1.4484942591092979e-19j), (0.2887515365468796-3.7205980336372033e-19j), (0.7886244723954349+0j), (-0.5428572479553941-1.9776069111275467e-19j), (0.7415752724911132+1.4484942591092979e-19j), (-0.5428572479553941+1.9776069111275467e-19j), (-0.39417270776766505+0j), (0.0108609145979226+0j), (0.9286272147890491+2.4796589160480283e-20j), (-0.3708551421567402+6.258735847516393e-20j), (0.9286272147890491-2.4796589160480283e-20j), (-0.1469167601445623+0j), (-0.3406860160303392-6.803485482918133e-20j), (-0.3708551421567402-6.258735847516393e-20j), (-0.3406860160303392+6.803485482918133e-20j), (-0.8639441544417932+0j)]
2024-03-21 23:31:29 n_try: 6, i: 47, D9, local: -5, energy: -5.014145514084653, grad_norm: 5.484488390183995, eta: 0.000999853917477351, learning_rate: 0.0009426200653534741, t_old: [(0.014540837498465076+0j), (0.1711280445307562-3.9739295464432963e-19j), (0.985141490546809+6.9530410061772e-20j), (0.1711280445307562+3.9739295464432963e-19j), (-0.9711349148751897+0j), (0.166169098999494-4.0915243583486063e-19j), (0.985141490546809-6.9530410061772e-20j), (0.166169098999494+4.0915243583486063e-19j), (-0.043405922611708336+0j), (0.66939158302333+0j), (0.4094307268971589+1.0877765931425647e-20j), (0.6199043381255289-7.411920171699976e-21j), (0.4094307268971589-1.0877765931425647e-20j), (0.4929544696103285+0j), (-0.7676994012896776-5.740352502172276e-21j), (0.6199043381255289+7.411920171699976e-21j), (-0.7676994012896776+5.740352502172276e-21j), (-0.1623460526452254+0j), (-0.2496308385308728+0j), (0.7860768405450356+1.0732615628572252e-19j), (-0.5654800130773627+1.4965621139346634e-19j), (0.7860768405450356-1.0732615628572252e-19j), (-0.176516265607628+0j), (-0.5923894063127213-1.4252358225725664e-19j), (-0.5654800130773627-1.4965621139346634e-19j), (-0.5923894063127213+1.4252358225725664e-19j), (-0.5738528958499324+0j)]
2024-03-21 23:33:17 n_try: 31, i: 19, D9, local: -5, energy: -5.009062679067415, grad_norm: 5.153802792828098, eta: 0.0009874004881825931, learning_rate: 0.0180113562356399, t_old: [(-0.16625391406145573+0j), (-0.32913971068803277-8.096753871855241e-09j), (0.9295303495110527-2.866999693216412e-09j), (-0.32913971068803277+8.096753871855241e-09j), (-0.8700648084684193+0j), (-0.3669526713138706-7.262416749286614e-09j), (0.9295303495110527+2.866999693216412e-09j), (-0.3669526713138706+7.262416749286614e-09j), (0.03631873195218671+0j), (0.6835743183785414+0j), (0.19517900054298595+4.143408501023348e-09j), (0.7033002889578719-1.1498734508990082e-09j), (0.19517900054298595-4.143408501023348e-09j), (0.8796088711584651+0j), (-0.4338126080969458-1.8641835548689976e-09j), (0.7033002889578719+1.1498734508990082e-09j), (-0.4338126080969458+1.8641835548689976e-09j), (-0.5631831959774264+0j), (0.2586097921697729+0j), (0.9309562657190131+1.0996800602767237e-09j), (-0.2577622812852369+3.971698407128922e-09j), (0.9309562657190131-1.0996800602767237e-09j), (-0.31139930171394165+0j), (-0.1906591014951861-5.369552432569604e-09j), (-0.2577622812852369-3.971698407128922e-09j), (-0.1906591014951861+5.369552432569604e-09j), (-0.9472104834361783+0j)]
2024-03-21 23:41:33 n_try: 28, i: 33, D9, local: -5, energy: -5.014661370721008, grad_norm: 5.691377725979355, eta: 0.0009998782514819532, learning_rate: 0.004120420584351018, t_old: [(0.037112404898021256+0j), (0.252656137565051-1.1473785995828751e-19j), (0.9668441164584191+2.990864429353688e-20j), (0.252656137565051+1.1473785995828751e-19j), (-0.9384491752672892+0j), (0.23553772854411356-1.2255014874763046e-19j), (0.9668441164584191-2.990864429353688e-20j), (0.23553772854411356+1.2255014874763046e-19j), (-0.09866322961916513+0j), (0.6181320331336015+0j), (0.45772674447090855-1.679550827722724e-20j), (0.6390610432400409+1.170165387349658e-20j), (0.45772674447090855+1.679550827722724e-20j), (0.45134499147973506+0j), (-0.7660117009805315+1.0008117147253419e-20j), (0.6390610432400409-1.170165387349658e-20j), (-0.7660117009805315-1.0008117147253419e-20j), (-0.06947702462490407+0j), (-0.3349625143127723+0j), (0.7338872922908686+2.5211743903828175e-20j), (-0.5909395537583423+3.1175901555097623e-20j), (0.7338872922908686-2.5211743903828175e-20j), (-0.1901350384083662+0j), (-0.6521181713158222-2.79185590389272e-20j), (-0.5909395537583423-3.1175901555097623e-20j), (-0.6521181713158222+2.79185590389272e-20j), (-0.474902447267294+0j)]
2024-03-21 23:47:36 n_try: 25, i: 40, D9, local: -5, energy: -5.007136587584641, grad_norm: 6.450099574671287, eta: 0.0009999921296222172, learning_rate: 0.001970784392191281, t_old: [(0.08039998484165051+0j), (-0.20816427468156462-1.849632007842295e-20j), (0.9747838104731873-3.8920602445714064e-21j), (-0.20816427468156462+1.849632007842295e-20j), (-0.9598922937110056+0j), (-0.18781485350575575-2.0380530771813814e-20j), (0.9747838104731873+3.8920602445714064e-21j), (-0.18781485350575575+2.0380530771813814e-20j), (-0.12050769111907789+0j), (0.4991386181208814+0j), (0.33244072794647217+8.338528434647807e-21j), (0.800214847575114-3.522640796209e-21j), (0.33244072794647217-8.338528434647807e-21j), (0.779346458712205+0j), (-0.5311329962184905-5.4103563225143926e-21j), (0.800214847575114+3.522640796209e-21j), (-0.5311329962184905+5.4103563225143926e-21j), (-0.27848507684465346+0j), (-0.113536979887224+0j), (0.9096377091196156+1.0312788000324953e-20j), (-0.39958552566699884+2.3118212356500135e-20j), (0.9096377091196156-1.0312788000324953e-20j), (-0.06658174892826785+0j), (-0.41003183880539906-2.1776544736223474e-20j), (-0.39958552566699884-2.3118212356500135e-20j), (-0.41003183880539906+2.1776544736223474e-20j), (-0.8198812711729409+0j)]
